3,오금,경찰병원,90
3,경찰병원,가락시장,60
3,가락시장,수서,120
3,수서,일원,120
3,일원,대청,90
3,대청,학여울,90
3,학여울,대치,60
3,대치,도곡,60
3,도곡,매봉,60
3,매봉,양재,90
3,양재,남부터미널,120
3,남부터미널,교대,90
3,교대,고속터미널,120
3,고속터미널,잠원,90
3,잠원,신사,60
3,신사,압구정,120
3,압구정,옥수,150
3,옥수,금호,60
3,금호,약수,60
3,약수,동대입구,90
3,동대입구,충무로,90
3,충무로,을지로3가,60
3,을지로3가,종로3가,60
3,종로3가,안국,120
3,안국,경복궁,90
3,경복궁,독립문,120
3,독립문,무악재,90
3,무악재,홍제,90
3,홍제,녹번,120
3,녹번,불광,90
3,불광,연신내,120
3,연신내,구파발,150
3,구파발,지축,150
3,지축,삼송,180
3,삼송,원흥,120
3,원흥,원당,180
3,원당,화정,120
3,화정,대곡,180
3,대곡,백석,180
3,백석,마두,120
3,마두,정발산,60
3,정발산,주엽,120
3,주엽,대화,120
